unique,runique,round,SurveyVersion,Current,fdn,fdntext,fldimp,undrfld,advknow,pubpol,comimp,undrwr,undrsoc,orgimp,undrorg,impsust,granteffect,avgrelfact,comfort,responsv,fairness,ctctfreq,initcont,conchng,sitevst,clrcomm,consistent,lrn_pub,lrn_web,lrn_ar,lrn_grp,lrn_ind,lrn_oth,lrn_blog,lrn_facebk,lrn_twitter,lrn_video,lrn_none2,ansrec,help_pub,help_web,help_ar,help_grp,help_ind,help_oth,help_blog,help_facebk,help_twitter,help_video,onr_fochelp,onr_ideahelp,selhelp,selfdn,pressure,tmsubcmt,propsub,s_loi,s_intv,s_phone,s_rescomm,s_lm,s_none,anssel,helpeval,disceval,discassess,helpassess,evalocc,evalocc_recode,eval_prcs_2,eval_prcs_3,eval_prcs_4,eval_prcs_8,eval_prcs_9,eval_prcs_89,eval_prcs_new,exteval,grtval,total_pem,prophour,prophour_buc_val,emhour,emana,emana_buc_val,propno,emno,ansasst,m_yeast,noasst,m_madv,m_mstrt,m_mfnpl,m_mperf,m_fcoll,m_fadv,m_fintr,m_frobs,m_fpubs,m_fsems,m_ogov,m_oit,m_ocom,m_ofac,m_otrn,m_fundasst,m_ootr,mc_mgmt,mc_fld,mc_oth,mc_all,nonmon,fldorcomp,fundasst,fundimp,f_fdnrep,satisfac,msatisfac,awarechall,helpchall,transparent,trans_select,trans_futfund,trans_bestpractice,trans_failure,typfund_new,grntlen,lenbuc_val,grntsz,grntbuc_val,anpctbud,relpat,budg,budbuc_val,curfund,declined,posit,gender,r_aframb,r_nativeal,r_asianind,r_white,r_sphislat,r_pacisl,r_oth,r_prefno,race,ISI_value,initcont_denom,tmsubcmt_denom,eval_prcs_new_denom,gender_denom,race_denom,ressub_lm,ressub_eval,ressub_prog,ressub_wrt,ressub_quantdata,ressub_qualdata,ressub_story,ressub_quantinfo,ressub_qualinfo,ressub_cost,ressub_oth,resreq_lm,resreq_eval,resreq_prog,resreq_wrt,resreq_quantdata,resreq_qualdata,resreq_story,resreq_quantinfo,resreq_qualinfo,resreq_cost,resreq_oth,e_stvst,e_disc,e_phone,e_email,e_extevl,e_wrtfm,e_outdata,e_none,use_blog,use_facebk,use_twitter,use_video,undrres,cctresuse,cctres,rellen,divcomm_fdn,divcomm_prog,divcomm_org,divcomm_wrk,divadd,optind,tracking
1526,14S21526,14S,Domestic,1,3001,Marlborough 14S,7,7,7,7,7,88,77,7,7,7,2,,7,7,7,5,3,0,0,5,77,0,1,0,0,0,0,0,0,0,0,0,1,,4,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,0,1,7,1,1,0,0,0,1,0,0,1,0,33333.32,50,40,5,10,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,,,,,,7,5,5,4,,,,1,,,1666666,9,,1,80000000,6,1,0,3,1,0,0,0,1,0,0,0,0,White,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1317
1528,14S21528,14S,Domestic,1,3001,Marlborough 14S,3,5,6,7,4,5,5,7,6,7,3,6.4,7,6,6,2,2,0,1,6,7,0,0,0,0,1,0,0,0,0,0,0,1,,,,,5,,,,,,,,2,7,6,5,1,0,1,1,1,0,0,1,,,0,3,2,0,1,0,0,0,0,0,4,,13333.33333,180,100,7,80,36.92302,4,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,,,,,,5,7,3,7,7,5,3,4,2.166666667,2,2400000,9,1.10769,2,1000000,4,1,0,1,1,0,0,0,1,0,0,0,0,White,2,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1271
2734,14S22734,14S,Domestic,1,3001,Marlborough 14S,7,5,7,88,7,6,7,7,7,88,1,7,7,7,7,3,1,0,1,7,7,0,0,0,1,1,0,0,0,0,0,0,1,,,,7,7,,,,,,,,7,7,1,6,1,0,1,1,1,0,0,1,7,1,1,7,1,1,0,0,0,1,0,0,1,88,80000,50,40,5,10,3.33333,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,2,4,1,7,4,1,,,,,,7,7,7,7,7,7,7,4,3,3,4000000,9,,2,,,1,0,3,1,0,0,0,1,0,0,0,0,White,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1412
1420,14S21420,14S,Domestic,1,3002,Roxbury 14S,7,7,7,7,7,7,7,7,7,5,3,7,7,7,7,4,3,0,0,7,7,1,1,0,0,1,0,0,0,0,0,0,1,6,6,,,7,,,,,,,,7,5,2,5,1,0,0,1,1,0,0,1,5,0,1,6,1,1,0,0,0,1,1,1,3,1,8700,5,3,1,2,2,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,3,0,4,3,1,,,,,,6,5,6,6,6,7,5,4,1,1,43500,3,0.03107,2,1400000,4,1,0,4,2,0,0,0,1,0,0,0,0,White,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,B1064
1079,14S21079,14S,Domestic,1,3003,Dartmouth 14S,5,6,88,88,7,6,6,7,6,7,1,7,7,7,7,2,3,1,1,7,7,1,1,0,0,1,0,0,0,0,0,0,1,7,6,,,7,,,,,,,,4,2,3,5,1,1,0,1,1,0,0,1,,,1,6,2,0,1,0,0,0,0,0,4,,6800,50,50,6,,,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,6,5,6,6,,,,13,1,1,340000,7,8.5,1,40000,1,0,0,6,2,0,0,0,1,0,0,0,0,White,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,C1002
1103,14S21103,14S,Domestic,1,3003,Dartmouth 14S,4,5,5,4,7,6,7,6,6,6,2,6.6,7,7,7,4,3,0,88,5,7,0,1,1,0,1,1,0,0,0,0,0,1,,4,4,,7,7,,,,,,,6,4,1,1,1,1,0,1,1,0,0,1,6,1,1,7,1,1,0,0,0,1,0,0,1,1,21428.57143,140,40,5,100,20,3,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,0,,,,,,6,5,6,6,6,5,4,4,5,5,3000000,9,0.2,1,3000000,4,1,0,1,2,0,0,0,1,0,0,0,0,White,2,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,C1040
2576,14S22576,14S,Domestic,1,3003,Dartmouth 14S,3,6,1,1,5,6,6,2,5,7,1,5.2,3,7,5,5,4,0,0,4,7,1,1,0,0,1,0,0,0,0,0,0,1,5,5,,,5,,,,,,,,2,1,1,4,1,1,0,0,1,0,0,1,2,88,88,2,1,1,0,0,0,1,0,0,1,0,,,,,,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0,,,,,,3,1,4,4,4,2,2,4,0.5,1,9029,1,0.05472,3,330025,2,0,1,1,2,0,0,0,1,0,0,0,0,White,3,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,C1029
1961,14S21961,14S,Domestic,1,3004,Boylston 14S,7,7,5,6,5,4,6,6,7,7,4,6.4,7,7,7,2,3,0,0,6,5,1,1,0,0,1,0,0,0,0,0,0,1,7,7,,,5,,,,,,,,3,2,1,5,1,1,0,1,1,1,0,1,,,1,5,2,0,1,0,0,0,0,0,4,,,20,20,3,,,,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,5,4,5,5,4,5,4,4,2,2,,,,1,,,1,0,2,2,0,0,0,1,0,0,0,0,White,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,D1072
1963,14S21963,14S,Domestic,1,3004,Boylston 14S,6,6,5,4,6,6,6,7,6,6,4,6,6,6,6,4,1,0,0,7,5,0,1,0,0,1,0,0,0,0,0,0,1,,5,,,6,,,,,,,,4,2,1,5,1,0,0,1,0,0,0,1,,,0,5,3,0,0,1,0,0,0,0,4,,2500,2,2,1,,,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,6,5,6,7,6,6,4,6,1,1,5000,1,0.00521,2,959000,3,1,1,1,2,1,0,0,0,0,0,0,0,Afr. Am.,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,D1059
1355,14S21355,14S,Domestic,1,3006,Peabody 14S,5,7,4,4,5,7,7,6,7,6,1,6.8,6,7,7,3,3,0,1,7,7,1,1,0,1,1,0,0,0,0,0,0,1,6,6,,6,6,,,,,,,,6,4,5,5,1,0,0,0,1,0,0,1,,,1,6,2,0,1,0,0,0,0,0,4,,1000,30,30,4,,,,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,4,2,0,,,,,,6,6,6,4,3,4,2,4,1,1,30000,3,0.01875,1,1600000,4,1,1,4,2,0,0,0,1,0,0,0,0,White,3,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,F1039
